config,auroc,auprc,threshold,f1,sensitivity,specificity,accuracy,mean_patient_f1,n_patients_scored
afdb_internal_fold0,0.9364442914910092,0.9013942414990768,0.5,0.8345716451857468,0.8480739599383668,0.8785786802030456,0.8664626682986536,0.6679557412767152,5
ltafdb_zero_shot,0.9702417598706594,0.9675091674346782,0.5,0.9446929816014454,0.9743538207983278,0.8773688568971558,0.9337163485438416,0.7125749530813464,62
ltafdb_scratch_5fold,0.9786619972886507,0.9793280301960127,0.5,0.955881098479894,0.9652346688564882,0.924658406854158,0.9482328919316578,0.7652809144222562,62
ltafdb_finetuned_5fold,0.9702678325057653,0.9549205385341889,0.5,0.9527571050537993,0.9696851365862903,0.9086935057489569,0.9441291575333554,0.7438650722065464,62
