variant,size_kb,size_ratio_vs_fp32,latency_ms_p50,latency_ms_p95,sparsity,auroc,auprc,f1,sensitivity,specificity,mean_patient_f1
fp32,133.4140625,1.0,0.3247103973990306,0.42450774664757773,0.0,0.9586596238572918,0.9428242934001185,0.8813461285657946,0.9476451631141516,0.843540085492454,0.6799009535650291
int8_dynamic,86.83984375,0.650904725654389,0.44738520082319155,0.48471452042576857,0.0,0.9587595419415282,0.9430085798694403,0.8814004836505099,0.947927856617855,0.8433656110965716,0.679819307298766
prune30,133.4140625,1.0,0.3212600975530222,0.3723055629234295,0.29997016706443913,0.9586932508944525,0.9429064789057707,0.8805610802889144,0.951207101260813,0.8385675652098055,0.6777524295256485
prune50,133.4140625,1.0,0.3239043027861044,0.35257763593108393,0.5,0.9525537364147619,0.9339931696021776,0.8744001060585974,0.9322666365126929,0.8456337782430429,0.678407046336593
prune70,133.4140625,1.0,0.3178791026584804,0.3354984770703595,0.7000298329355609,0.9242143020757081,0.9012191231297239,0.8164270128126224,0.8250127212076667,0.8487743173689261,0.5942164605742337
prune50_int8,86.83984375,0.650904725654389,0.443351999274455,0.4833852832962292,0.5127018633540372,0.9525586427981314,0.9340263633926396,0.8745263269470281,0.9329451009215808,0.8451975922533368,0.6782053036975343
prune70_finetune,133.4140625,1.0,0.3141315988614224,0.33134410667116754,0.7000298329355609,0.9520625136029142,0.9303131806608987,0.8781438466197888,0.9426132187482331,0.842449620518189,0.6821478060821611
onnx_fp32,184.43359375,1.3824149440768285,0.04654340009437874,0.04967050947016105,0.0,0.9586596176919445,0.9428242561778368,0.8813461285657946,0.9476451631141516,0.843540085492454,0.6799009535650291
