variant,size_kb,size_ratio_vs_fp32,latency_ms_p50,latency_ms_p95,sparsity,auroc,auprc,f1,sensitivity,specificity,mean_patient_f1
fp32,403.375,1.0,0.2694507988053374,0.2969057696464006,0.0,0.9714216498221734,0.9599956810396082,0.8944197584712265,0.9275173856504777,0.8869842100671727,0.7165144391299184
int8_dynamic,234.55078125,0.5814707933064766,0.33632460254011676,0.36636469842051156,0.0,0.9714201393120886,0.95998272259949,0.8945159180113389,0.9277435404534404,0.886940591468202,0.7164702604053342
prune30,403.375,1.0,0.2682862017536536,0.3149047477927524,0.3000091759955955,0.971093431394119,0.9595083714895571,0.8937922758018765,0.9263866116356646,0.886940591468202,0.7144997857202346
prune50,403.375,1.0,0.2762186006293632,0.29894693187088706,0.5,0.9691105200696827,0.9569029920725861,0.897134726445889,0.9090292305082829,0.909360551339091,0.7023506330986716
prune70,403.375,1.0,0.27518579736351967,0.29554700551670976,0.6999908240044045,0.9615378052609558,0.9480281249696431,0.8783610755441741,0.9114603946401312,0.8735496815842275,0.659534085496
prune50_int8,234.55078125,0.5814707933064766,0.3355358014232479,0.47201963840052485,0.5133619837976684,0.9690991893944425,0.9568919445448762,0.8970403637479427,0.9090857692090236,0.909142458344238,0.7019762864973017
prune70_finetune,403.375,1.0,0.26987480086972937,0.30517840743414126,0.6999908240044045,0.9671364658831556,0.9519217680029958,0.8857764838565846,0.9547125007067337,0.8449794992584838,0.7078644597488694
onnx_fp32,463.1240234375,1.1481227726991012,0.05441690009320155,0.07288326902198602,0.0,0.9714216448898956,0.9599956997776299,0.8944197584712265,0.9275173856504777,0.8869842100671727,0.7165144391299184
